"Sample_ID","subject.x","date.x","DV200","RIN_RQN.y","Adj_conc","Round","Volume","Postcop","subjectdate","subject.y","date.y","E.I.","swelling","male_status","cycle","phase","notes","phasecode"
"41","Vertige","1/23/19",56.56,4.9,1.49,"26",64,"Y","Vertige1/23/19","Vertige","1/23/19",NA,"DGS","With Male",2,"post-fertile","","PostF"
"42","Vertige","1/25/19",69,2.1,20.12,"23",64,"N","Vertige1/25/19","Vertige","1/25/19",NA,"FD","With Male",2,"post-fertile","","PostF"
"43","Barbie","1/25/19",50.57,1.3,0.413,"20",64,"N","Barbie1/25/19","Barbie","1/25/19",62.25,"MGS","With Male",2,"non-fertile","*1st day MGS","NonF"
"45","Barbie","1/29/19",72.3,2.4,0.37,"36",64,"N","Barbie1/29/19","Barbie","1/29/19",87.71698113,"LGS","With Male",2,"pre-fertile","","PreF"
"46","Barbie","1/31/19",68.35,4.2,0.499,"14",64,"N","Barbie1/31/19","Barbie","1/31/19",84.88006853,"LGS","With Male",2,"pre-fertile","","PreF"
"47","Vertige","2/1/19",82.32,3.8,48.8,"13",64,"N","Vertige2/1/19","Vertige","2/1/19",32.69322292,"FD","With Male",2,"pregnant","",NA
"48","Barbie","2/5/19",18.7,1.8,3.18,"37",64,"N","Barbie2/5/19","Barbie","2/5/19",78.00925926,"DGS","With Male",2,"fertile","Decrease in EI= 6.047","F"
"49","Vertige","2/7/19",76.3,2.8,42.096,"27",64,"N","Vertige2/7/19","Vertige","2/7/19",NA,"FD","With Male",2,"pregnant","",NA
"50","Barbie","2/7/19",81.34,5.6,28.7,"16",64,"N","Barbie2/7/19","Barbie","2/7/19",48.54676384,"DGS","With Male",2,"post-fertile","","PostF"
"51","Barbie","2/11/19",78.4,2.1,54.1,"18",64,"N","Barbie2/11/19","Barbie","2/11/19",NA,"DGS","With Male",2,"post-fertile","","PostF"
"52","Vertige","2/19/19",81.6,3,1.5794,"24",64,"N","Vertige2/19/19","Vertige","2/19/19",52,"FD","With Male",2,"pregnant","",NA
"53","Barbie","2/19/19",81.05,4.2,27.4,"19",64,"N","Barbie2/19/19","Barbie","2/19/19",4.879280492,"FD","With Male",2,"non-fertile","","NonF"
"54","Solene","2/20/19",12,1.1,118.3,"BF2",100,"N","Solene2/20/19","Solene","2/20/19",60.24590164,"LGS","No Male",0,"fertile","*1st day LGS","F"
"55","Solene","2/20/19",52.9,1.8,10.306,"39",64,"N","Solene2/20/19","Solene","2/20/19",60.24590164,"LGS","No Male",0,"fertile","*1st day LGS","F"
"56","Solene","2/23/19",82.5,3.3,11.376,"40",64,"N","Solene2/23/19","Solene","2/23/19",83.33333333,"DGS","No Male",0,"fertile","*1st day DGS, Decrease in EI= 19.4 over 2 days","F"
"57","Barbie","2/25/19",73.36,6.3,2.59,"31",64,"N","Barbie2/25/19","Barbie","2/25/19",53,"MGS","With Male",3,"pre-fertile","","PreF"
"58","Solene","2/25/19",57.6,3.9,6.56,"30",64,"N","Solene2/25/19","Solene","2/25/19",63.94230769,"DGS","No Male",0,"post-fertile","","PostF"
"59","Barbie","2/27/19",64.65,5.1,1.28,"17",64,"N","Barbie2/27/19","Barbie","2/27/19",76.5,"LGS","With Male",3,"pre-fertile","Momo in consort","PreF"
"60","Solene","2/27/19",82.43,4,7.07,"11",64,"N","Solene2/27/19","Solene","2/27/19",67.47572816,"DGS","No Male",0,"post-fertile","","PostF"
"61","Solene","3/1/19",66.83,4.6,12.4,"18",64,"N","Solene3/1/19","Solene","3/1/19",60.18518519,"FD","No Male",0,"post-fertile","","PostF"
"62","Barbie","3/1/19",54.1,2.6,12.308,"35",64,"N","Barbie3/1/19","Barbie","3/1/19",79.5,"LGS","With Male",3,"fertile","Momo in consort","F"
"63","Barbie","3/3/19",57.56,1.5,4.81,"9",64,"N","Barbie3/3/19","Barbie","3/3/19",79.25,"LGS","With Male",3,"fertile","Momo in consort","F"
"64","Solene","3/3/19",68.95,2.9,3.74,"20",64,"N","Solene3/3/19","Solene","3/3/19",NA,"FD","No Male",0,"non-fertile","","NonF"
"65","Barbie","3/4/19",59.67,2.6,1.25,"29",64,"N","Barbie3/4/19","Barbie","3/4/19",85.5,"LGS","With Male",3,"fertile","Momo in consort, Decrease in EI= 9.04","F"
"66","Solene","3/4/19",42.9,1.2,25.868,"34",64,"N","Solene3/4/19","Solene","3/4/19",34.40366972,"FD","No Male",0,"non-fertile","","NonF"
"67","Barbie","3/5/19",65.05,3.4,1.7,"26",64,"N","Barbie3/5/19","Barbie","3/5/19",76.46078431,"DGS","With Male",3,"fertile","*1st day DGS. Momo no longer in consort, first signs of deturgescence","F"
"68","Vertige","3/6/19",84.1,2.8,7.94,"20",64,"N","Vertige3/6/19","Vertige","3/6/19",NA,"FD","With Male",2,"pregnant","",NA
"69","Barbie","3/6/19",70.09,2.2,3.47,"7",64,"N","Barbie3/6/19","Barbie","3/6/19",74.5,"DGS","With Male",3,"post-fertile","","PostF"
"70","Suzon","3/6/19",83.35,7.7,0.656,"8",64,"N","Suzon3/6/19","Suzon","3/6/19",68.5,"MGS","No Male",0,"fertile","","F"
"71A","Suzon","3/7/19",86.4,6,1.17,"3",68,"N","Suzon3/7/19","Suzon","3/7/19",81.55339806,"LGS","No Male",0,"fertile","*1st day LGS","F"
"71B","Suzon","3/7/19",88.63,6.6,0.623,"2",45,"N","Suzon3/7/19","Suzon","3/7/19",81.55339806,"LGS","No Male",0,"fertile","*1st day LGS","F"
"72","Suzon","3/7/19",61.53,5.1,0.678,"30",64,"N","Suzon3/7/19","Suzon","3/7/19",81.55339806,"LGS","No Male",0,"fertile","*1st day LGS","F"
"73","Barbie","3/8/19",47.85,3.4,1.39,"29",64,"N","Barbie3/8/19","Barbie","3/8/19",73.5,"DGS","With Male",3,"post-fertile","","PostF"
"74","Suzon","3/8/19",NA,NA,NA,"BF2",100,"N","Suzon3/8/19","Suzon","3/8/19",72.05882353,"LGS","No Male",0,"fertile","","F"
"75","Suzon","3/8/19",77,6.5,1.67,"26",64,"N","Suzon3/8/19","Suzon","3/8/19",72.05882353,"LGS","No Male",0,"fertile","","F"
"76","Suzon","3/9/19",81.11,6.9,2.31,"10",64,"N","Suzon3/9/19","Suzon","3/9/19",78.18181818,"LGS","No Male",0,"fertile","","F"
"78","Suzon","3/11/19",88,3.5,15.987,"32",64,"N","Suzon3/11/19","Suzon","3/11/19",44,"DGS","No Male",0,"post-fertile","*1st day DGS","PostF"
"79","Barbie","3/11/19",24.8,1,42.904,"22",64,"N","Barbie3/11/19","Barbie","3/11/19",20.45454545,"FD","With Male",3,"non-fertile","","NonF"
"80","Barbie","3/12/19",71.9,2.1,40.9,"21",64,"N","Barbie3/12/19","Barbie","3/12/19",33.5,"FD","With Male",3,"non-fertile","","NonF"
"81","Solene","3/14/19",85.16,4.8,3.75,"10",64,"N","Solene3/14/19","Solene","3/14/19",53,"FD","No Male",1,"pre-fertile","changed from PMF","PreF"
"82","Suzon","3/14/19",81.6,7.5,9.7186,"22",64,"N","Suzon3/14/19","Suzon","3/14/19",72,"FD","No Male",0,"post-fertile","Decrease in EI= 26.4","PostF"
"83","Suzon","3/16/19",71.55,4.4,5.47,"11",64,"N","Suzon3/16/19","Suzon","3/16/19",45.57522124,"FD","No Male",0,"non-fertile","","NonF"
"84","Solene","3/16/19",75.64,4.6,25,"19",64,"N","Solene3/16/19","Solene","3/16/19",60.64814815,"MGS","No Male",1,"pre-fertile","","PreF"
"86","Solene","3/18/19",82.09,6.1,20.7,"1",60,"N","Solene3/18/19","Solene","3/18/19",63,"LGS","With Male",1,"fertile","*1st day LGS","F"
"87","Solene","3/18/19",85.83,5.8,58.3,"8",64,"N","Solene3/18/19","Solene","3/18/19",63,"LGS","With Male",1,"fertile","*1st day LGS","F"
"88","Suzon","3/18/19",68.59,3.5,39.3,"9",64,"N","Suzon3/18/19","Suzon","3/18/19",NA,"FD","No Male",0,"non-fertile","","NonF"
"89","Solene","3/19/19",73,3.9,23.615,"25",64,"N","Solene3/19/19","Solene","3/19/19",66.95652174,"LGS","With Male",1,"fertile","","F"
"90","Solene","3/20/19",91.2,4.9,20.515,"38",64,"maybe","Solene3/20/19","Solene","3/20/19",72.85714286,"LGS","With Male",1,"fertile","","F"
"91","Solene","3/21/19",67.3,2.7,29.027,"37",64,"N","Solene3/21/19","Solene","3/21/19",73,"LGS","With Male",1,"fertile","Decrease in EI= 6.98","F"
"92","Solene","3/23/19",76.83,4.8,25,"18",64,"N","Solene3/23/19","Solene","3/23/19",60.74766355,"LGS","With Male",1,"post-fertile","","PostF"
"93","Solene","3/25/19",78.25,6.3,26.2,"7",64,"N","Solene3/25/19","Solene","3/25/19",65.68627451,"DGS","With Male",1,"post-fertile","*1st day DGS","PostF"
"94","Solene","3/27/19",71.8,7.3,24.908,"37",64,"N","Solene3/27/19","Solene","3/27/19",NA,"DGS","With Male",1,"post-fertile","","PostF"
"95","Solene","3/29/19",42.1,1.2,30.859,"35",64,"N","Solene3/29/19","Solene","3/29/19",NA,"DGS","With Male",1,"non-fertile","","NonF"
"96","Suzon","4/2/19",95.5,3,6.5459,"35",64,"N","Suzon4/2/19","Suzon","4/2/19",NA,"MGS","With Male",1,"non-fertile","","NonF"
"97","Suzon","4/3/19",94.6,2.5,9.6106,"21",64,"N","Suzon4/3/19","Suzon","4/3/19",65,"MGS","With Male",1,"non-fertile","","NonF"
"98","Solene","4/3/19",68.9,3.1,31.829,"25",64,"N","Solene4/3/19","Solene","4/3/19",37,"FD","With Male",1,"non-fertile","","NonF"
"99","Solene","4/5/19",9.6,1.2,98.04,"22",64,"N","Solene4/5/19","Solene","4/5/19",NA,"FD","With Male",1,"non-fertile","","NonF"
"100","Suzon","4/5/19",86.4,6,3.6004,"24",64,"Y","Suzon4/5/19","Suzon","4/5/19",75.98039216,"LGS","With Male",1,"pre-fertile","","PreF"
"101","Suzon","4/5/19",90.8,6.2,0.6533,"40",64,"Y","Suzon4/5/19","Suzon","4/5/19",75.98039216,"LGS","With Male",1,"pre-fertile","","PreF"
"102","Suzon","4/6/19",94.9,7.5,9.938,"35",64,"Y","Suzon4/6/19","Suzon","4/6/19",77.47747748,"LGS","With Male",1,"pre-fertile","","PreF"
"103A","Suzon","4/6/19",86.34,7.2,2.54,"3",60,"Y","Suzon4/6/19","Suzon","4/6/19",77.47747748,"LGS","With Male",1,"pre-fertile","","PreF"
"103B","Suzon","4/6/19",85.98,7.1,1.68,"2",45,"Y","Suzon4/6/19","Suzon","4/6/19",77.47747748,"LGS","With Male",1,"pre-fertile","","PreF"
"104","Odila","4/6/19",40,5,0.4643,"15",64,"N","Odila4/6/19","Odila","4/6/19",91.58415842,"LGS","With Male",2,"pre-fertile","","PreF"
"105","Odila","4/8/19",47.11,4,0.245,"8",64,"N","Odila4/8/19","Odila","4/8/19",90.86956522,"LGS","With Male",2,"pre-fertile","","PreF"
"106","Odila","4/8/19",40.3,4.8,0.3345,"28",64,"N","Odila4/8/19","Odila","4/8/19",90.86956522,"LGS","With Male",2,"pre-fertile","","PreF"
"107","Suzon","4/8/19",85.3,7.1,0.5414,"27",64,"Y","Suzon4/8/19","Suzon","4/8/19",85,"LGS","With Male",1,"pre-fertile","","PreF"
"108","Odila","4/9/19",55.19,4,0.669,"15",64,"N","Odila4/9/19","Odila","4/9/19",97,"LGS","With Male",2,"fertile","","F"
"109","Suzon","4/9/19",40.08,3.3,0.146,"11",64,"Y","Suzon4/9/19","Suzon","4/9/19",90,"LGS","With Male",1,"pre-fertile","","PreF"
"110","Odila","4/11/19",NA,NA,NA,"BF3",100,"N","Odila4/11/19","Odila","4/11/19",88.1147541,"DGS","With Male",2,"fertile","*1st day DGS","F"
"111","Odila","4/11/19",58.63,5.5,0.274,"12",64,"N","Odila4/11/19","Odila","4/11/19",88.1147541,"DGS","With Male",2,"fertile","*1st day DGS","F"
"112","Suzon","4/11/19",76.3,4.7,0.1077,"28",64,"Y","Suzon4/11/19","Suzon","4/11/19",80,"LGS","With Male",1,"fertile","Rodolphe in consort","F"
"113","Odila","4/12/19",NA,NA,NA,"BF3",100,"N","Odila4/12/19","Odila","4/12/19",94.17475728,"DGS","With Male",2,"fertile","Decrease in EI= 13.24","F"
"114","Odila","4/12/19",35.6,4.9,1.7028,"31",64,"N","Odila4/12/19","Odila","4/12/19",94.17475728,"DGS","With Male",2,"fertile","Decrease in EI= 13.24","F"
"115","Suzon","4/12/19",78.4,5.5,0.545,"33",64,"Y","Suzon4/12/19","Suzon","4/12/19",83,"LGS","With Male",1,"fertile","","F"
"116","Suzon","4/12/19",7,6.5,296.4,"BF3",100,"Y","Suzon4/12/19","Suzon","4/12/19",83,"LGS","With Male",1,"fertile","","F"
"117","Odila","4/14/19",39.3,3.3,0.269,"11",64,"N","Odila4/14/19","Odila","4/14/19",78.36538462,"DGS","With Male",2,"post-fertile","","PostF"
"118","Odila","4/14/19",NA,NA,NA,"BF3",100,"N","Odila4/14/19","Odila","4/14/19",78.36538462,"DGS","With Male",2,"post-fertile","","PostF"
"119","Odila","4/16/19",70.86,3,20.3,"18",64,"N","Odila4/16/19","Odila","4/16/19",51,"FD","With Male",2,"post-fertile","","PostF"
"120","Suzon","4/16/19",86.2,5,7.282,"32",64,"N","Suzon4/16/19","Suzon","4/16/19",70,"DGS","With Male",1,"post-fertile","","PostF"
"121","Odila","4/17/19",56.15,2.3,17.4,"33",64,"N","Odila4/17/19","Odila","4/17/19",NA,"FD","With Male",2,"post-fertile","","PostF"
"122","Suzon","4/17/19",51.05,2.6,1.06,"11",64,"N","Suzon4/17/19","Suzon","4/17/19",NA,"FD","With Male",1,"post-fertile","","PostF"
"123","Solene","4/18/19",80.32,6.1,14.4,"15",64,"N","Solene4/18/19","Solene","4/18/19",NA,"MGS","With Male",2,"pre-fertile","","PreF"
"124","Vuei","4/18/19",65.6,3.2,28.53,"27",64,"N","Vuei4/18/19","Vuei","4/18/19",NA,"MGS","No Male",0,"non-fertile","","NonF"
"125","Viva","4/18/19",67.85,6.5,1.7,"31",64,"N","Viva4/18/19","Viva","4/18/19",NA,"FD","No Male",0,"non-fertile","","NonF"
"126","Solene","4/19/19",58.7,2,0.6346,"BF3",100,"N","Solene4/19/19","Solene","4/19/19",63.5,"MGS","With Male",2,"pre-fertile","","PreF"
"127","Vuei","4/19/19",NA,NA,NA,"BF3",100,"N","Vuei4/19/19","Vuei","4/19/19",60.4,"MGS","No Male",0,"non-fertile","","NonF"
"128","Viva","4/19/19",NA,NA,NA,"BF3",100,"N","Viva4/19/19","Viva","4/19/19",55.28846154,"FD","No Male",0,"non-fertile","","NonF"
"129","Vuei","4/22/19",30.5,2.1,7.272,"BF3",100,"N","Vuei4/22/19","Vuei","4/22/19",54.4,"MGS","No Male",0,"pre-fertile","/LGS","PreF"
"130","Solene","4/22/19",NA,NA,NA,"BF3",100,"N","Solene4/22/19","Solene","4/22/19",63,"LGS","With Male",2,"fertile","*1st day LGS","F"
"131","Suzon","4/22/19",NA,NA,NA,"BF3",100,"N","Suzon4/22/19","Suzon","4/22/19",61.5,"FD","With Male",1,"non-fertile","","NonF"
"132","Suzon","4/22/19",NA,NA,NA,"BF3",100,"N","Suzon4/22/19","Suzon","4/22/19",61.5,"FD","With Male",1,"non-fertile","","NonF"
"133","Solene","4/22/19",90.3,8,53.542,"36",64,"N","Solene4/22/19","Solene","4/22/19",63,"LGS","With Male",2,"fertile","*1st day LGS","F"
"134","Suzon","4/23/19",79.8,4,10.908,"38",64,"N","Suzon4/23/19","Suzon","4/23/19",NA,"FD","With Male",1,"non-fertile","","NonF"
"135","Solene","4/23/19",76.45,5.6,23.6,"18",64,"N","Solene4/23/19","Solene","4/23/19",72.5,"LGS","With Male",2,"fertile","","F"
"136","Vuei","4/23/19",65,2.5,19.961,"34",64,"N","Vuei4/23/19","Vuei","4/23/19",NA,"MGS","No Male",0,"pre-fertile","/LGS","PreF"
"137","Viva","4/23/19",16.1,10,5.6819,"36",64,"N","Viva4/23/19","Viva","4/23/19",NA,"FD","No Male",0,"non-fertile","","NonF"
"138","Solene","4/24/19",80.09,5,33.9,"13",64,"N","Solene4/24/19","Solene","4/24/19",83.49514563,"LGS","With Male",2,"fertile","","F"
"139","Vuei","4/24/19",60.16,3.1,2.37,"12",64,"N","Vuei4/24/19","Vuei","4/24/19",61.5,"LGS","No Male",0,"pre-fertile","Decrease in EI= 7","PreF"
"140","Odila","4/24/19",86,3.7,1.0542,"41",64,"N","Odila4/24/19","Odila","4/24/19",NA,"FD","With Male",2,"non-fertile","","NonF"
"141","Solene","4/25/19",84,6.6,11.089,"34",64,"N","Solene4/25/19","Solene","4/25/19",80.5,"LGS","With Male",2,"fertile","Decrease in EI= 22","F"
"142","Vuei","4/25/19",59.24,2.3,35.7,"15",64,"N","Vuei4/25/19","Vuei","4/25/19",54.5,"LGS","No Male",0,"fertile","","F"
"143","Solene","4/26/19",77.97,6.6,19.9,"14",64,"N","Solene4/26/19","Solene","4/26/19",58.5,"DGS","With Male",2,"post-fertile","*1st day DGS","PostF"
"144","Vuei","4/26/19",71.44,3.4,6.18,"9",64,"N","Vuei4/26/19","Vuei","4/26/19",58,"LGS","No Male",0,"fertile","? Maybe signs of DGS 1st day ?","F"
"145","Vuei","4/27/19",68.15,3.2,16,"13",64,"N","Vuei4/27/19","Vuei","4/27/19",54.7,"DGS","No Male",0,"fertile","*1st day DGS","F"
"146","Solene","4/29/19",66.62,5.6,21.9,"18",64,"N","Solene4/29/19","Solene","4/29/19",53.96039604,"FD","With Male",2,"post-fertile","","PostF"
"147","Vuei","4/29/19",82.55,4.8,3.78,"7",64,"N","Vuei4/29/19","Vuei","4/29/19",47.7,"DGS","No Male",0,"fertile","","F"
"148","Viva","4/30/19",29.4,3.7,8.488,"36",64,"N","Viva4/30/19","Viva","4/30/19",49.5,"MGS","No Male",0,"pre-fertile","","PreF"
"149","Viva","5/1/19",37.7,3.1,1.2447,"32",64,"N","Viva5/1/19","Viva","5/1/19",54.71698113,"LGS","No Male",0,"pre-fertile","*1st day LGS","PreF"
"150","Vuei","5/1/19",67.28,5.3,23.5,"15",64,"N","Vuei5/1/19","Vuei","5/1/19",45.6,"FD","No Male",0,"post-fertile","","PostF"
"151","Solene","5/2/19",48.5,2.6,45.81,"23",64,"N","Solene5/2/19","Solene","5/2/19",66.27906977,"FD","With Male",2,"non-fertile","","NonF"
"152","Odila","5/2/19",43.66,3.4,2.05,"10",64,"N","Odila5/2/19","Odila","5/2/19",52.31481481,"MGS","With Male",3,"pre-fertile","","PreF"
"153","Viva","5/2/19",47.1,6.3,2.2763,"32",64,"N","Viva5/2/19","Viva","5/2/19",46,"LGS","No Male",0,"pre-fertile","","PreF"
"154","Odila","5/3/19",44.41,4,1.04,"17",64,"N","Odila5/3/19","Odila","5/3/19",56.8627451,"MGS","With Male",3,"fertile","","F"
"155","Viva","5/3/19",40.9,5.6,2.8295,"40",64,"N","Viva5/3/19","Viva","5/3/19",37.16814159,"LGS","No Male",0,"pre-fertile","","PreF"
"156","Odila","5/5/19",84.26,6.9,1.32,"6",64,"N","Odila5/5/19","Odila","5/5/19",NA,"MGS","With Male",3,"fertile","","F"
"157","Viva","5/5/19",73.64,6.2,1.19,"20",64,"N","Viva5/5/19","Viva","5/5/19",37.74509804,"LGS","No Male",0,"fertile","","F"
"158","Odila","5/6/19",67.1,4.5,6.558,"34",64,"N","Odila5/6/19","Odila","5/6/19",64.5,"LGS","With Male",3,"fertile","*1st day LGS, Decrease in EI= 9.83","F"
"159","Vuei","5/6/19",56.19,2.9,62.1,"33",64,"N","Vuei5/6/19","Vuei","5/6/19",42.2,"FD","No Male",0,"non-fertile","","NonF"
"160","Viva","5/6/19",63.7,3.7,2.4716,"35",64,"N","Viva5/6/19","Viva","5/6/19",51.5,"LGS","No Male",0,"fertile","","F"
"161","Odila","5/7/19",53.47,3.3,1.26,"18",64,"N","Odila5/7/19","Odila","5/7/19",54.6728972,"LGS","With Male",3,"fertile","","F"
"162","Odila","5/7/19",NA,NA,NA,"BF4",50,"N","Odila5/7/19","Odila","5/7/19",54.6728972,"LGS","With Male",3,"fertile","","F"
"163","Odila","5/7/19",NA,NA,NA,"BF4",50,"N","Odila5/7/19","Odila","5/7/19",54.6728972,"LGS","With Male",3,"fertile","","F"
"164","Odila","5/7/19",NA,NA,NA,"BF4",50,"N","Odila5/7/19","Odila","5/7/19",54.6728972,"LGS","With Male",3,"fertile","","F"
"165","Odila","5/7/19",NA,NA,NA,"BF4",50,"N","Odila5/7/19","Odila","5/7/19",54.6728972,"LGS","With Male",3,"fertile","","F"
"166","Suzon","5/7/19",NA,NA,NA,"BF4",50,"N","Suzon5/7/19","Suzon","5/7/19",NA,"MGS","With Male",2,"pre-fertile","*1st day MGS","PreF"
"167","Suzon","5/7/19",NA,NA,NA,"BF4",50,"N","Suzon5/7/19","Suzon","5/7/19",NA,"MGS","With Male",2,"pre-fertile","*1st day MGS","PreF"
"168","Suzon","5/7/19",NA,NA,NA,"BF4",50,"N","Suzon5/7/19","Suzon","5/7/19",NA,"MGS","With Male",2,"pre-fertile","*1st day MGS","PreF"
"169","Suzon","5/7/19",NA,NA,NA,"BF4",50,"N","Suzon5/7/19","Suzon","5/7/19",NA,"MGS","With Male",2,"pre-fertile","*1st day MGS","PreF"
"170","Vuei","5/7/19",73.9,2.5,88.12,"29",64,"N","Vuei5/7/19","Vuei","5/7/19",NA,"FD","No Male",0,"non-fertile","","NonF"
"171A","Vuei","5/7/19",61.6,1.9,176,"5",29,"N","Vuei5/7/19","Vuei","5/7/19",NA,"FD","No Male",0,"non-fertile","","NonF"
